timestamp,battery_soc_pct,bus_voltage_V,panel_current_A,temperature_C,attitude_error_deg,comms_snr_dB,fault_flag,payload_current_A,gyro_drift_deg_s
2026-06-02T06:30:00,100.0,24.05,2.194,28.8,0.062,21.64,0,0.456,0.009
2026-06-02T07:00:00,95.73,23.82,0.066,17.36,0.114,20.39,0,0.45,0.0105
2026-06-02T07:30:00,91.44,23.65,0.067,11.33,0.023,21.34,0,0.453,0.0104
2026-06-02T08:00:00,100.0,24.04,2.144,30.33,0.062,20.9,0,0.423,0.005
2026-06-02T08:30:00,95.81,23.78,0.038,15.25,0.104,21.78,0,0.409,0.0098
2026-06-02T09:00:00,91.71,23.67,0.051,15.01,0.068,22.25,0,0.406,0.0067
2026-06-02T09:30:00,100.0,24.08,2.138,25.1,0.054,21.14,0,0.459,0.01
2026-06-02T10:00:00,100.0,23.99,2.221,30.42,0.088,21.41,0,0.443,0.0099
2026-06-02T10:30:00,95.81,23.87,0.074,14.81,0.077,20.47,0,0.444,0.0087
2026-06-02T11:00:00,100.0,24.0,2.244,28.89,0.079,21.32,0,0.452,0.009
2026-06-02T11:30:00,100.0,24.01,2.108,27.52,0.118,21.76,0,0.468,0.0114
2026-06-02T12:00:00,95.61,23.94,0.036,15.2,0.15,21.08,0,0.437,0.0068
2026-06-02T12:30:00,100.0,24.05,2.032,25.48,0.072,21.75,0,0.437,0.0083
2026-06-02T13:00:00,100.0,23.96,2.054,27.29,0.155,21.08,0,0.438,0.0087
2026-06-02T13:30:00,95.8,23.72,0.077,17.14,0.046,21.39,0,0.448,0.0093
2026-06-02T14:00:00,100.0,23.96,1.955,26.31,0.094,20.71,0,0.46,0.0061
2026-06-02T14:30:00,100.0,23.97,2.066,25.96,0.088,20.91,0,0.463,0.0046
2026-06-02T15:00:00,95.75,23.84,0.06,14.91,0.097,20.55,0,0.439,0.0095
2026-06-02T15:30:00,91.45,23.68,0.071,17.68,0.089,20.65,0,0.46,0.0097
2026-06-02T16:00:00,99.59,24.02,2.043,29.21,0.143,19.18,0,0.44,0.0052
2026-06-02T16:30:00,95.33,23.86,0.037,16.19,0.04,22.02,0,0.419,0.0103
2026-06-02T17:00:00,91.09,23.58,0.084,15.34,0.073,21.27,0,0.462,0.0091
2026-06-02T17:30:00,99.85,23.95,2.154,30.8,0.088,21.22,0,0.453,0.0102
2026-06-02T18:00:00,100.0,24.01,2.103,26.48,0.098,21.12,0,0.447,0.0076
2026-06-02T18:30:00,95.69,23.89,0.054,14.05,0.079,21.33,0,0.444,0.0099
2026-06-02T19:00:00,100.0,24.0,2.082,29.76,0.101,19.71,0,0.464,0.0042
2026-06-02T19:30:00,100.0,24.08,2.219,28.98,0.054,22.49,0,0.428,0.0065
2026-06-02T20:00:00,95.83,23.77,0.072,14.92,0.09,21.22,0,0.439,0.0079
2026-06-02T20:30:00,100.0,24.06,2.213,27.8,0.062,22.09,0,0.429,0.0096
2026-06-02T21:00:00,100.0,24.07,2.161,29.37,0.087,21.7,0,0.442,0.0036
2026-06-02T21:30:00,95.74,23.82,0.056,16.57,0.102,21.01,0,0.437,0.0131
2026-06-02T22:00:00,100.0,24.03,2.264,27.37,0.075,20.64,0,0.413,0.0056
2026-06-02T22:30:00,100.0,24.03,2.08,30.16,0.116,21.87,0,0.452,0.0115
2026-06-02T23:00:00,95.71,23.85,0.05,14.6,0.116,22.44,0,0.436,0.005
2026-06-02T23:30:00,91.6,23.66,0.092,19.04,0.062,20.29,0,0.45,0.0089
2026-06-03T00:00:00,99.99,24.0,2.085,26.26,0.099,21.13,0,0.442,0.0069
2026-06-03T00:30:00,95.7,23.82,0.067,16.31,0.104,21.38,0,0.454,0.0068
2026-06-03T01:00:00,91.5,23.62,0.045,14.16,0.1,20.8,0,0.418,0.0076
2026-06-03T01:30:00,100.0,24.04,2.259,29.21,0.128,21.38,0,0.453,0.0075
2026-06-03T02:00:00,100.0,24.05,1.931,28.9,0.088,22.26,0,0.446,0.0124
2026-06-03T02:30:00,95.62,23.85,0.043,11.42,0.094,21.28,0,0.443,0.0096
2026-06-03T03:00:00,100.0,23.99,1.957,28.94,0.069,22.03,0,0.481,0.0086
2026-06-03T03:30:00,100.0,24.06,2.236,26.05,0.149,21.7,0,0.458,0.0077
2026-06-03T04:00:00,95.51,23.8,0.044,14.36,0.123,21.17,0,0.462,0.0063
2026-06-03T04:30:00,100.0,24.05,2.069,31.49,0.083,21.35,0,0.463,0.0093
2026-06-03T05:00:00,100.0,24.04,2.035,29.26,0.07,23.33,0,0.414,0.0094
2026-06-03T05:30:00,95.59,23.82,0.055,14.99,0.171,19.52,0,0.461,0.0121
2026-06-03T06:00:00,100.0,24.07,2.0,26.82,0.086,22.06,0,0.437,0.0071
2026-06-03T06:30:00,100.0,24.07,2.148,27.54,0.104,21.62,0,0.436,0.0053
2026-06-03T07:00:00,95.91,23.79,0.083,17.25,0.088,20.3,0,0.437,0.0065
2026-06-03T07:30:00,91.53,23.67,0.048,13.36,0.114,21.94,0,0.449,0.0121
2026-06-03T08:00:00,100.0,24.01,2.161,28.45,0.066,20.48,0,0.441,0.0048
2026-06-03T08:30:00,95.78,23.88,0.075,15.05,0.106,22.82,0,0.45,0.0082
2026-06-03T09:00:00,91.46,23.63,0.065,13.93,0.093,21.21,0,0.457,0.0101
2026-06-03T09:30:00,100.0,23.99,2.133,29.6,0.14,20.9,0,0.462,0.0056
2026-06-03T10:00:00,100.0,24.01,2.09,29.32,0.093,22.28,0,0.432,0.008
2026-06-03T10:30:00,95.5,23.79,0.024,14.72,0.078,21.93,0,0.443,0.0096
2026-06-03T11:00:00,100.0,23.96,2.182,25.65,0.088,20.93,0,0.449,0.0063
2026-06-03T11:30:00,100.0,24.03,2.001,30.16,0.116,21.2,0,0.449,0.0078
2026-06-03T12:00:00,95.38,23.87,0.03,12.97,0.115,21.7,0,0.469,0.0099
2026-06-03T12:30:00,100.0,23.96,2.127,29.15,0.096,20.23,0,0.449,0.0081
2026-06-03T13:00:00,100.0,23.91,1.975,27.86,0.034,20.75,0,0.446,0.0102
2026-06-03T13:30:00,95.3,23.79,0.025,14.16,0.109,21.16,0,0.477,0.0103
2026-06-03T14:00:00,100.0,24.04,2.105,28.4,0.082,21.2,0,0.427,0.0093
2026-06-03T14:30:00,100.0,24.07,2.056,27.01,0.105,21.97,0,0.484,0.0093
2026-06-03T15:00:00,95.83,23.77,0.076,17.27,0.069,20.35,0,0.443,0.012
2026-06-03T15:30:00,91.4,23.65,0.061,15.28,0.086,21.29,0,0.47,0.0125
2026-06-03T16:00:00,99.8,23.98,2.114,28.77,0.11,20.93,0,0.469,0.0097
2026-06-03T16:30:00,95.51,23.78,0.055,14.46,0.139,21.92,0,0.44,0.0068
2026-06-03T17:00:00,91.08,23.58,0.067,11.16,0.049,22.7,0,0.477,0.002
2026-06-03T17:30:00,99.98,23.99,2.159,27.29,0.034,22.2,0,0.435,0.0096
2026-06-03T18:00:00,100.0,24.03,1.922,27.41,0.073,20.5,0,0.457,0.0074
2026-06-03T18:30:00,95.91,23.89,0.057,14.51,0.171,20.72,0,0.412,0.006
2026-06-03T19:00:00,100.0,24.05,2.107,26.5,0.115,20.34,0,0.463,0.0069
2026-06-03T19:30:00,100.0,24.05,2.045,28.5,0.133,20.65,0,0.462,0.009
2026-06-03T20:00:00,95.35,23.89,0.045,12.9,0.107,22.02,0,0.49,0.0074
2026-06-03T20:30:00,100.0,24.05,2.057,28.82,0.095,20.3,0,0.424,0.0079
2026-06-03T21:00:00,100.0,24.09,1.949,28.26,0.114,20.41,0,0.466,0.0081
2026-06-03T21:30:00,95.53,23.83,0.025,15.52,0.171,19.77,0,0.441,0.0107
2026-06-03T22:00:00,100.0,23.99,2.224,30.19,0.088,22.55,0,0.468,0.0062
2026-06-03T22:30:00,100.0,24.05,1.879,29.66,0.074,21.71,0,0.456,0.0085
2026-06-03T23:00:00,95.67,23.88,0.051,15.75,0.092,22.15,0,0.444,0.0051
2026-06-03T23:30:00,91.22,23.75,0.063,17.36,0.126,20.23,0,0.475,0.0092
2026-06-04T00:00:00,99.28,23.84,2.03,28.82,0.069,20.87,0,0.44,0.0077
2026-06-04T00:30:00,95.32,23.78,0.108,16.15,0.095,23.09,0,0.441,0.0064
2026-06-04T01:00:00,91.14,23.7,0.066,14.43,0.134,20.99,0,0.435,0.006
2026-06-04T01:30:00,99.39,23.98,2.081,28.22,0.127,20.92,0,0.462,0.0107
2026-06-04T02:00:00,100.0,23.96,2.128,27.91,0.076,21.68,0,0.424,0.0067
2026-06-04T02:30:00,95.59,23.81,0.07,12.15,0.135,19.61,0,0.475,0.0058
2026-06-04T03:00:00,100.0,23.99,2.175,30.21,0.123,20.51,0,0.402,0.0086
2026-06-04T03:30:00,100.0,24.02,2.081,27.45,0.119,20.98,0,0.462,0.0105
2026-06-04T04:00:00,95.65,23.94,0.046,12.23,0.147,20.61,0,0.441,0.0112
2026-06-04T04:30:00,100.0,23.98,2.066,28.29,0.099,20.94,0,0.471,0.005
2026-06-04T05:00:00,100.0,23.92,2.208,30.4,0.132,20.89,0,0.475,0.0092
2026-06-04T05:30:00,95.63,23.92,0.059,15.12,0.075,20.68,0,0.458,0.0091
2026-06-04T06:00:00,100.0,23.93,2.096,27.12,0.098,20.92,0,0.445,0.0081
2026-06-04T06:30:00,100.0,24.03,2.159,26.58,0.095,19.9,0,0.422,0.0098
2026-06-04T07:00:00,95.94,23.83,0.092,15.49,0.096,21.13,0,0.442,0.0081
2026-06-04T07:30:00,91.69,23.68,0.07,18.49,0.128,21.09,0,0.451,0.0078
2026-06-04T08:00:00,100.0,24.08,2.195,27.13,0.089,22.55,0,0.423,0.0102
2026-06-04T08:30:00,95.75,23.81,0.074,16.72,0.161,20.22,0,0.453,0.0084
2026-06-04T09:00:00,91.28,23.74,0.047,15.28,0.065,22.05,0,0.462,0.0055
2026-06-04T09:30:00,98.6,23.89,1.933,26.58,0.13,21.05,0,0.463,0.0092
2026-06-04T10:00:00,100.0,24.02,2.051,27.57,0.092,20.02,0,0.402,0.0079
2026-06-04T10:30:00,95.78,23.84,0.04,15.91,0.122,21.93,0,0.415,0.0097
2026-06-04T11:00:00,100.0,24.11,2.067,28.7,0.069,21.46,0,0.483,0.0095
2026-06-04T11:30:00,100.0,23.95,2.131,28.34,0.113,20.97,0,0.442,0.0079
2026-06-04T12:00:00,95.61,23.8,0.039,14.67,0.109,20.74,0,0.441,0.0073
2026-06-04T12:30:00,100.0,23.95,1.979,26.54,0.07,21.12,0,0.467,0.0093
2026-06-04T13:00:00,100.0,23.94,2.115,27.67,0.15,20.54,0,0.489,0.0066
2026-06-04T13:30:00,95.47,23.88,0.034,15.75,0.15,20.26,0,0.459,0.0074
2026-06-04T14:00:00,100.0,24.04,1.932,26.75,0.097,21.79,0,0.486,0.0071
2026-06-04T14:30:00,100.0,23.98,2.094,25.41,0.112,20.06,0,0.428,0.0105
2026-06-04T15:00:00,95.48,23.77,0.061,15.36,0.086,21.67,0,0.484,0.0078
2026-06-04T15:30:00,91.32,23.69,0.063,15.67,0.125,21.0,0,0.429,0.0091
2026-06-04T16:00:00,100.0,24.0,2.313,26.71,0.12,20.92,0,0.449,0.0077
2026-06-04T16:30:00,95.64,23.82,0.063,17.02,0.064,21.6,0,0.462,0.0038
2026-06-04T17:00:00,91.51,23.64,0.083,13.36,0.082,21.96,0,0.444,0.0105
2026-06-04T17:30:00,99.25,24.02,1.982,26.5,0.097,21.69,0,0.443,0.0103
2026-06-04T18:00:00,100.0,23.99,2.376,30.18,0.052,21.7,0,0.455,0.0085
2026-06-04T18:30:00,95.45,23.91,0.053,15.93,0.085,20.99,0,0.48,0.007
2026-06-04T19:00:00,100.0,23.99,2.012,26.53,0.072,21.33,0,0.459,0.0078
2026-06-04T19:30:00,100.0,24.07,2.127,29.31,0.089,21.51,0,0.428,0.0071
2026-06-04T20:00:00,95.74,23.88,0.038,11.51,0.147,19.96,0,0.419,0.0094
2026-06-04T20:30:00,100.0,23.92,2.209,26.69,0.042,22.38,0,0.456,0.0127
2026-06-04T21:00:00,100.0,23.96,2.17,29.78,0.092,21.24,0,0.443,0.009
2026-06-04T21:30:00,95.74,23.77,0.044,16.45,0.096,19.91,0,0.426,0.0049
2026-06-04T22:00:00,100.0,24.0,2.079,30.07,0.081,20.72,0,0.434,0.008
2026-06-04T22:30:00,100.0,23.95,2.068,26.89,0.11,21.05,0,0.41,0.0055
2026-06-04T23:00:00,95.61,23.82,0.064,15.86,0.116,21.63,0,0.465,0.0103
2026-06-04T23:30:00,91.11,23.66,0.056,14.5,0.064,21.34,0,0.477,0.0082
2026-06-05T00:00:00,99.63,23.96,2.097,25.79,0.076,20.54,0,0.433,0.0077
2026-06-05T00:30:00,95.57,23.86,0.052,15.88,0.146,21.2,0,0.402,0.0082
2026-06-05T01:00:00,91.49,23.6,0.102,12.51,0.068,21.83,0,0.454,0.0107
2026-06-05T01:30:00,100.0,24.02,2.098,29.67,0.117,21.9,0,0.433,0.0092
2026-06-05T02:00:00,100.0,23.99,1.999,27.09,0.123,21.42,0,0.451,0.0093
2026-06-05T02:30:00,95.6,23.79,0.043,16.04,0.07,20.97,0,0.447,0.0057
2026-06-05T03:00:00,100.0,24.03,2.129,29.89,0.128,21.41,0,0.463,0.0109
2026-06-05T03:30:00,100.0,24.04,2.026,30.58,0.041,22.33,0,0.466,0.0078
2026-06-05T04:00:00,95.59,23.86,0.023,15.79,0.075,20.48,0,0.429,0.0056
2026-06-05T04:30:00,100.0,24.0,2.107,28.12,0.109,19.54,0,0.457,0.0099
2026-06-05T05:00:00,100.0,23.99,2.148,29.9,0.097,20.38,0,0.444,0.0093
2026-06-05T05:30:00,95.8,23.8,0.082,15.53,0.07,21.92,0,0.453,0.008
2026-06-05T06:00:00,100.0,24.06,2.057,29.06,0.041,22.54,0,0.459,0.0081
2026-06-05T06:30:00,100.0,24.02,2.089,29.59,0.133,20.84,0,0.418,0.0111
2026-06-05T07:00:00,95.68,23.82,0.059,14.23,0.137,20.23,0,0.45,0.0085
2026-06-05T07:30:00,91.38,23.72,0.061,15.14,0.149,21.47,0,0.451,0.0085
2026-06-05T08:00:00,100.0,24.01,2.187,26.89,0.054,21.89,0,0.472,0.0085
2026-06-05T08:30:00,95.57,23.88,0.049,17.62,0.111,21.69,0,0.458,0.0107
2026-06-05T09:00:00,91.02,23.62,0.028,16.64,0.162,20.92,0,0.456,0.0078
2026-06-05T09:30:00,99.41,23.99,2.071,26.6,0.092,21.09,0,0.429,0.0096
2026-06-05T10:00:00,100.0,24.01,2.148,26.3,0.135,20.63,0,0.422,0.0096
2026-06-05T10:30:00,95.72,23.8,0.039,15.88,0.072,22.94,0,0.425,0.0088
2026-06-05T11:00:00,100.0,23.95,2.166,29.33,0.127,21.82,0,0.457,0.0074
2026-06-05T11:30:00,100.0,24.05,1.931,28.56,0.071,21.13,0,0.437,0.0085
2026-06-05T12:00:00,95.76,23.81,0.062,15.16,0.088,20.77,0,0.441,0.0076
2026-06-05T12:30:00,100.0,23.98,2.069,26.75,0.034,20.26,0,0.465,0.0106
2026-06-05T13:00:00,100.0,23.95,2.182,25.84,0.13,20.67,0,0.436,0.0087
2026-06-05T13:30:00,96.01,23.81,0.076,16.16,0.105,22.45,0,0.414,0.0074
2026-06-05T14:00:00,100.0,24.04,2.075,29.87,0.164,19.82,0,0.467,0.008
2026-06-05T14:30:00,100.0,24.09,2.156,27.69,0.128,22.26,0,0.458,0.0101
2026-06-05T15:00:00,95.95,23.81,0.081,17.22,0.088,19.81,0,0.429,0.0083
2026-06-05T15:30:00,91.9,23.64,0.088,13.91,0.111,20.92,0,0.436,0.0125
2026-06-05T16:00:00,100.0,24.04,2.286,30.4,0.118,21.59,0,0.465,0.0119
2026-06-05T16:30:00,95.47,23.85,0.076,15.24,0.113,22.1,0,0.5,0.0097
2026-06-05T17:00:00,91.31,23.56,0.086,12.24,0.073,20.47,0,0.451,0.0093
2026-06-05T17:30:00,100.0,23.98,2.199,28.12,0.13,22.62,0,0.429,0.0098
2026-06-05T18:00:00,100.0,24.06,2.095,27.37,0.103,20.66,0,0.443,0.0082
2026-06-05T18:30:00,95.84,23.77,0.066,15.44,0.121,20.27,0,0.431,0.0076
2026-06-05T19:00:00,100.0,24.02,1.922,28.23,0.088,20.29,0,0.44,0.009
2026-06-05T19:30:00,100.0,23.97,2.184,25.29,0.148,21.48,0,0.435,0.0086
2026-06-05T20:00:00,95.76,23.87,0.063,12.67,0.107,21.54,0,0.441,0.0081
2026-06-05T20:30:00,100.0,23.93,2.077,28.0,0.088,21.51,0,0.472,0.0066
2026-06-05T21:00:00,100.0,24.05,2.197,28.63,0.113,20.87,0,0.425,0.006
2026-06-05T21:30:00,95.65,23.76,0.081,15.33,0.124,20.6,0,0.477,0.009
2026-06-05T22:00:00,100.0,23.96,2.088,27.86,0.13,21.54,0,0.415,0.0064
2026-06-05T22:30:00,100.0,24.05,2.079,27.45,0.091,21.98,0,0.434,0.0088
2026-06-05T23:00:00,95.92,23.82,0.072,11.98,0.085,23.72,0,0.424,0.0068
2026-06-05T23:30:00,91.54,23.6,0.039,15.1,0.098,20.56,0,0.44,0.0093
2026-06-06T00:00:00,100.0,23.98,2.156,26.85,0.122,22.98,0,0.425,0.0102
2026-06-06T00:30:00,95.65,23.8,0.063,15.46,0.101,21.78,0,0.459,0.0091
2026-06-06T01:00:00,91.37,23.67,0.08,15.81,0.127,21.66,0,0.465,0.0095
2026-06-06T01:30:00,98.88,23.96,1.962,28.63,0.128,21.26,0,0.46,0.0084
2026-06-06T02:00:00,100.0,23.96,2.194,27.54,0.145,21.29,0,0.441,0.0054
2026-06-06T02:30:00,95.58,23.78,0.042,17.99,0.069,20.6,0,0.45,0.008
2026-06-06T03:00:00,100.0,23.98,2.024,27.09,0.129,21.92,0,0.431,0.0044
2026-06-06T03:30:00,100.0,23.92,2.076,26.79,0.101,23.48,0,0.448,0.0077
2026-06-06T04:00:00,95.96,23.85,0.074,13.82,0.065,22.0,0,0.42,0.0069
2026-06-06T04:30:00,100.0,23.96,2.181,30.27,0.062,20.74,0,0.475,0.0078
2026-06-06T05:00:00,100.0,24.07,2.211,26.96,0.129,20.71,0,0.416,0.0102
2026-06-06T05:30:00,95.62,23.79,0.045,13.78,0.114,20.25,0,0.446,0.0075
2026-06-06T06:00:00,100.0,24.01,2.152,26.9,0.081,21.23,0,0.451,0.0084
2026-06-06T06:30:00,100.0,23.96,2.036,26.89,0.082,19.98,0,0.454,0.0038
2026-06-06T07:00:00,95.6,23.85,0.019,13.96,0.037,22.63,0,0.423,0.0075
2026-06-06T07:30:00,91.06,23.71,0.042,17.66,0.086,21.43,0,0.467,0.0068
2026-06-06T08:00:00,100.0,24.03,2.246,30.35,0.1,22.32,0,0.442,0.0065
2026-06-06T08:30:00,95.75,23.82,0.06,16.07,0.09,22.11,0,0.441,0.0079
2026-06-06T09:00:00,91.32,23.67,0.045,12.8,0.066,20.89,0,0.453,0.0071
2026-06-06T09:30:00,99.6,23.98,2.091,27.67,0.114,22.21,0,0.466,0.0069
2026-06-06T10:00:00,100.0,23.97,2.112,27.79,0.109,21.34,0,0.435,0.0111
2026-06-06T10:30:00,95.74,23.89,0.065,13.86,0.073,20.63,0,0.447,0.0088
2026-06-06T11:00:00,100.0,23.99,2.19,29.28,0.097,21.04,0,0.461,0.0063
2026-06-06T11:30:00,100.0,24.04,2.141,26.44,0.056,20.93,0,0.469,0.0085
2026-06-06T12:00:00,95.56,23.81,0.054,16.9,0.124,20.93,0,0.464,0.0065
2026-06-06T12:30:00,100.0,24.07,2.063,27.2,0.035,22.29,0,0.444,0.0121
2026-06-06T13:00:00,100.0,24.01,2.178,29.61,0.076,20.26,0,0.419,0.0069
2026-06-06T13:30:00,95.76,23.85,0.069,14.84,0.081,21.52,0,0.447,0.0089
2026-06-06T14:00:00,100.0,23.98,2.239,26.88,0.119,22.39,0,0.415,0.0102
2026-06-06T14:30:00,100.0,24.06,2.069,29.97,0.087,21.34,0,0.475,0.0066
2026-06-06T15:00:00,95.81,23.84,0.062,15.12,0.057,21.58,0,0.432,0.0068
2026-06-06T15:30:00,91.82,23.65,0.033,13.06,0.053,22.53,0,0.371,0.0082
2026-06-06T16:00:00,100.0,24.0,2.287,28.38,0.128,20.83,0,0.443,0.0092
2026-06-06T16:30:00,96.0,23.82,0.09,16.71,0.078,18.98,0,0.43,0.0048
2026-06-06T17:00:00,91.74,23.64,0.091,13.18,0.102,20.48,0,0.473,0.0096
2026-06-06T17:30:00,99.71,23.98,2.035,26.71,0.083,21.38,0,0.46,0.0066
2026-06-06T18:00:00,100.0,23.99,2.089,28.69,0.113,19.7,0,0.517,0.0101
2026-06-06T18:30:00,95.71,23.91,0.061,18.36,0.083,21.67,0,0.447,0.0082
2026-06-06T19:00:00,100.0,23.93,2.1,29.31,0.055,21.04,0,0.458,0.0059
2026-06-06T19:30:00,100.0,24.07,2.132,27.31,0.076,22.74,0,0.436,0.0095
2026-06-06T20:00:00,95.73,23.77,0.071,13.63,0.098,20.45,0,0.455,0.0053
2026-06-06T20:30:00,100.0,24.03,2.205,28.73,0.022,21.05,0,0.403,0.0092
2026-06-06T21:00:00,100.0,23.99,2.019,29.11,0.112,20.81,0,0.447,0.0085
2026-06-06T21:30:00,95.6,23.89,0.037,13.49,0.115,22.63,0,0.441,0.0132
2026-06-06T22:00:00,100.0,23.89,1.845,29.24,0.071,22.37,0,0.459,0.0073
2026-06-06T22:30:00,100.0,23.99,2.216,26.64,0.086,20.15,0,0.401,0.0097
2026-06-06T23:00:00,95.79,23.91,0.073,15.51,0.124,22.13,0,0.447,0.0062
2026-06-06T23:30:00,91.65,23.67,0.064,14.77,0.124,21.76,0,0.425,0.0078
