block_id,block_size_gb,is_factory_bad,is_runtime_bad,corrected_error_count,uncorrectable_error_count,pe_cycles,max_pe_cycles,retention_hours,min_retention_hours,temperature_C,read_count,write_count,last_scrub_age_hours
B0065,0.25,false,false,19,0,2500,100000,2160,72.0,35.75,5750,2500,24.0
B0066,0.25,false,false,20,0,2520,100000,2160,72.0,35.9,5780,2520,24.4
B0067,0.25,false,false,21,0,2540,100000,2160,72.0,36.05,5810,2540,24.8
B0068,0.25,false,false,15,0,2560,100000,2160,72.0,36.2,5840,2560,25.2
B0069,0.25,false,false,16,0,2580,100000,2160,72.0,36.35,5870,2580,25.6
B0070,0.25,false,false,17,0,2600,100000,2160,72.0,35.0,5900,2600,24.0
B0071,0.25,false,false,18,0,2620,100000,2160,72.0,35.15,5930,2620,24.4
B0072,0.25,false,false,19,0,2640,100000,2160,72.0,35.3,5960,2640,24.8
B0073,0.25,false,false,20,0,2660,100000,2160,72.0,35.45,5990,2660,25.2
B0074,0.25,false,false,21,0,2680,100000,2160,72.0,35.6,6020,2680,25.6
B0075,0.25,false,false,15,0,2700,100000,2160,72.0,35.75,6050,2700,24.0
B0076,0.25,false,false,16,0,2720,100000,2160,72.0,35.9,6080,2720,24.4
B0077,0.25,false,false,17,0,2740,100000,2160,72.0,36.05,6110,2740,24.8
B0078,0.25,false,false,18,0,2760,100000,2160,72.0,36.2,6140,2760,25.2
B0079,0.25,false,false,19,0,2780,100000,2160,72.0,36.35,6170,2780,25.6
B0080,0.25,false,false,20,0,2800,100000,2160,72.0,35.0,6200,2800,24.0
B0081,0.25,false,false,21,0,2820,100000,2160,72.0,35.15,6230,2820,24.4
B0082,0.25,false,false,15,0,2840,100000,2160,72.0,35.3,6260,2840,24.8
B0083,0.25,false,false,16,0,2860,100000,2160,72.0,35.45,6290,2860,25.2
B0084,0.25,false,false,17,0,2880,100000,2160,72.0,35.6,6320,2880,25.6
B0085,0.25,false,false,18,0,2900,100000,2160,72.0,35.75,6350,2900,24.0
B0086,0.25,false,false,19,0,2920,100000,2160,72.0,35.9,6380,2920,24.4
B0087,0.25,false,false,20,0,2940,100000,2160,72.0,36.05,6410,2940,24.8
B0088,0.25,false,false,21,0,2960,100000,2160,72.0,36.2,6440,2960,25.2
B0089,0.25,false,false,15,0,2980,100000,2160,72.0,36.35,6470,2980,25.6
B0090,0.25,false,false,16,0,3000,100000,2160,72.0,35.0,6500,3000,24.0
B0091,0.25,false,false,17,0,3020,100000,2160,72.0,35.15,6530,3020,24.4
B0092,0.25,false,false,18,0,3040,100000,2160,72.0,35.3,6560,3040,24.8
B0093,0.25,false,false,19,0,3060,100000,2160,72.0,35.45,6590,3060,25.2
B0094,0.25,false,false,20,0,3080,100000,2160,72.0,35.6,6620,3080,25.6
B0095,0.25,false,false,21,0,3100,100000,2160,72.0,35.75,6650,3100,24.0
B0096,0.25,false,false,15,0,3120,100000,2160,72.0,35.9,6680,3120,24.4
B0097,0.25,false,false,16,0,3140,100000,2160,72.0,36.05,6710,3140,24.8
B0098,0.25,false,false,17,0,3160,100000,2160,72.0,36.2,6740,3160,25.2
B0099,0.25,false,false,18,0,3180,100000,2160,72.0,36.35,6770,3180,25.6
B0100,0.25,false,false,19,0,3200,100000,2160,72.0,35.0,6800,3200,24.0
B0101,0.25,false,false,20,0,3220,100000,2160,72.0,35.15,6830,3220,24.4
B0102,0.25,false,false,21,0,3240,100000,2160,72.0,35.3,6860,3240,24.8
B0103,0.25,false,false,15,0,3260,100000,2160,72.0,35.45,6890,3260,25.2
B0104,0.25,false,false,16,0,3280,100000,2160,72.0,35.6,6920,3280,25.6
B0105,0.25,false,false,17,0,3300,100000,2160,72.0,35.75,6950,3300,24.0
B0106,0.25,false,false,18,0,3320,100000,2160,72.0,35.9,6980,3320,24.4
B0107,0.25,false,false,19,0,3340,100000,2160,72.0,36.05,7010,3340,24.8
B0108,0.25,false,false,20,0,3360,100000,2160,72.0,36.2,7040,3360,25.2
B0109,0.25,false,false,21,0,3380,100000,2160,72.0,36.35,7070,3380,25.6
B0110,0.25,false,false,15,0,3400,100000,2160,72.0,35.0,7100,3400,24.0
B0111,0.25,false,false,16,0,3420,100000,2160,72.0,35.15,7130,3420,24.4
B0112,0.25,false,false,17,0,3440,100000,2160,72.0,35.3,7160,3440,24.8
B0113,0.25,false,false,18,0,3460,100000,2160,72.0,35.45,7190,3460,25.2
B0114,0.25,false,false,19,0,3480,100000,2160,72.0,35.6,7220,3480,25.6
B0115,0.25,false,false,20,0,3500,100000,2160,72.0,35.75,7250,3500,24.0
B0116,0.25,false,false,21,0,3520,100000,2160,72.0,35.9,7280,3520,24.4
B0117,0.25,false,false,15,0,3540,100000,2160,72.0,36.05,7310,3540,24.8
B0118,0.25,false,false,16,0,3560,100000,2160,72.0,36.2,7340,3560,25.2
B0119,0.25,false,false,17,0,3580,100000,2160,72.0,36.35,7370,3580,25.6
B0120,0.25,false,false,18,0,3600,100000,2160,72.0,35.0,7400,3600,24.0
B0121,0.25,false,false,19,0,3620,100000,2160,72.0,35.15,7430,3620,24.4
B0122,0.25,false,false,20,0,3640,100000,2160,72.0,35.3,7460,3640,24.8
B0123,0.25,false,false,21,0,3660,100000,2160,72.0,35.45,7490,3660,25.2
B0124,0.25,false,false,15,0,3680,100000,2160,72.0,35.6,7520,3680,25.6
B0125,0.25,false,false,16,0,3700,100000,2160,72.0,35.75,7550,3700,24.0
B0126,0.25,false,false,17,0,3720,100000,2160,72.0,35.9,7580,3720,24.4
B0127,0.25,false,false,18,0,3740,100000,2160,72.0,36.05,7610,3740,24.8
