wafer_id,lot_id,site,target_cd_nm,cd_nm,thickness_nm,uniformity_pct
W012,L1023,E,65.0,65.07,119.7,1.85
W012,L1023,W,65.0,65.18,119.5,1.71
W013,L1023,CENTER,65.0,64.94,119.26,1.68
W013,L1023,N,65.0,64.99,119.63,1.71
W013,L1023,S,65.0,65.15,119.71,1.66
W013,L1023,E,65.0,65.3,119.64,1.65
W013,L1023,W,65.0,65.0,121.13,0.76
W014,L1023,CENTER,65.0,65.21,119.85,1.46
W014,L1023,N,65.0,65.57,120.0,2.4
W014,L1023,S,65.0,64.87,120.18,1.3
W014,L1023,E,65.0,64.79,120.03,1.39
W014,L1023,W,65.0,65.06,118.95,2.3
W015,L1023,CENTER,65.0,64.95,120.87,1.1
W015,L1023,N,65.0,65.09,121.58,1.15
W015,L1023,S,65.0,64.55,119.73,1.69
W015,L1023,E,65.0,65.21,120.65,1.4
W015,L1023,W,65.0,64.52,119.78,2.0
W016,L1024,CENTER,65.0,65.14,119.02,1.49
W016,L1024,N,65.0,65.42,121.06,1.72
W016,L1024,S,65.0,65.09,119.38,1.16
W016,L1024,E,65.0,65.01,120.25,1.73
W016,L1024,W,65.0,64.86,119.42,1.19
W017,L1024,CENTER,65.0,64.65,120.32,0.58
W017,L1024,N,65.0,64.9,120.22,2.11
W017,L1024,S,65.0,65.02,120.5,1.34
W017,L1024,E,65.0,64.78,119.66,2.11
W017,L1024,W,65.0,65.3,120.24,2.83
W018,L1024,CENTER,65.0,64.99,120.31,1.62
W018,L1024,N,65.0,64.93,121.16,2.1
W018,L1024,S,65.0,64.58,119.8,1.67
W018,L1024,E,65.0,65.23,119.33,0.6
W018,L1024,W,65.0,64.43,119.96,1.46
W019,L1024,CENTER,65.0,65.1,119.62,1.01
W019,L1024,N,65.0,64.39,120.16,1.65
W019,L1024,S,65.0,65.3,120.4,1.42
W019,L1024,E,65.0,65.4,119.93,1.24
W019,L1024,W,65.0,64.84,119.71,0.63
W020,L1024,CENTER,65.0,65.05,120.12,1.36
W020,L1024,N,65.0,64.79,120.19,2.19
W020,L1024,S,65.0,65.01,119.75,1.26
W020,L1024,E,65.0,64.98,119.37,1.45
W020,L1024,W,65.0,65.02,120.92,1.88
W021,L1025,CENTER,65.0,65.31,119.64,1.77
W021,L1025,N,65.0,64.66,120.16,1.67
W021,L1025,S,65.0,64.77,121.0,1.73
W021,L1025,E,65.0,64.43,120.28,1.34
W021,L1025,W,65.0,65.0,120.23,1.66
W022,L1025,CENTER,65.0,64.39,119.42,1.81
W022,L1025,N,65.0,65.39,120.95,2.22
W022,L1025,S,65.0,64.38,120.38,0.73
W022,L1025,E,65.0,65.48,120.13,1.04
W022,L1025,W,65.0,65.6,120.32,0.74
W023,L1025,CENTER,65.0,65.09,119.63,1.54
W023,L1025,N,65.0,64.86,120.69,0.93
W023,L1025,S,65.0,65.1,120.91,1.17
W023,L1025,E,65.0,65.06,120.1,1.22
W023,L1025,W,65.0,65.19,120.05,1.12
W024,L1025,CENTER,65.0,65.53,120.4,1.43
W024,L1025,N,65.0,64.81,119.61,1.99
W024,L1025,S,65.0,64.96,120.23,1.43
W024,L1025,E,65.0,65.18,119.94,1.81
W024,L1025,W,65.0,64.95,120.41,1.77
W025,L1025,CENTER,65.0,64.97,119.57,1.12
W025,L1025,N,65.0,64.78,119.51,1.85
W025,L1025,S,65.0,64.99,120.79,2.41
W025,L1025,E,65.0,65.01,119.23,1.35
W025,L1025,W,65.0,64.98,119.26,1.4
W026,L1026,CENTER,65.0,65.09,119.77,1.19
W026,L1026,N,65.0,64.77,120.89,1.44
W026,L1026,S,65.0,64.75,119.81,1.88
W026,L1026,E,65.0,64.79,120.24,1.79
W026,L1026,W,65.0,65.22,120.7,1.28
W027,L1026,CENTER,65.0,65.34,119.6,1.34
W027,L1026,N,65.0,65.36,120.41,1.5
W027,L1026,S,65.0,64.64,120.28,1.25
W027,L1026,E,65.0,64.72,119.68,1.6
W027,L1026,W,65.0,64.36,120.18,1.57
W028,L1026,CENTER,65.0,64.82,120.52,1.74
W028,L1026,N,65.0,64.82,119.66,1.78
W028,L1026,S,65.0,64.55,119.83,1.25
W028,L1026,E,65.0,65.02,120.11,1.51
W028,L1026,W,65.0,65.34,120.11,1.37
W029,L1026,CENTER,65.0,64.64,120.36,1.71
W029,L1026,N,65.0,65.44,119.63,1.51
W029,L1026,S,65.0,64.98,119.96,1.5
W029,L1026,E,65.0,64.49,120.41,1.76
W029,L1026,W,65.0,65.34,121.12,1.37
W030,L1026,CENTER,65.0,64.99,120.0,2.28
W030,L1026,N,65.0,64.48,120.24,0.91
W030,L1026,S,65.0,64.23,118.99,0.95
W030,L1026,E,65.0,65.32,119.57,1.41
W030,L1026,W,65.0,64.65,120.31,1.06
W031,L1027,CENTER,65.0,66.2,119.5,1.19
W031,L1027,N,65.0,65.84,120.01,2.07
W031,L1027,S,65.0,65.84,119.4,1.28
W031,L1027,E,65.0,65.63,120.36,1.65
W031,L1027,W,65.0,65.76,120.43,1.29
W032,L1027,CENTER,65.0,65.76,120.09,2.11
W032,L1027,N,65.0,65.77,119.82,1.08
W032,L1027,S,65.0,66.01,119.71,1.64
W032,L1027,E,65.0,65.23,120.52,0.97
W032,L1027,W,65.0,65.57,120.53,0.97
W033,L1027,CENTER,65.0,65.78,120.04,1.1
W033,L1027,N,65.0,66.2,120.75,0.71
W033,L1027,S,65.0,65.37,120.4,0.98
W033,L1027,E,65.0,65.68,120.06,1.78
W033,L1027,W,65.0,65.73,120.05,1.19
W034,L1027,CENTER,65.0,66.19,119.75,1.64
W034,L1027,N,65.0,65.65,120.05,1.43
W034,L1027,S,65.0,65.75,119.49,1.82
W034,L1027,E,65.0,66.22,120.12,1.79
W034,L1027,W,65.0,66.05,120.46,1.62
W035,L1027,CENTER,65.0,65.86,120.43,1.53
W035,L1027,N,65.0,65.51,120.01,0.74
W035,L1027,S,65.0,65.8,120.21,1.99
W035,L1027,E,65.0,65.85,120.46,1.5
W035,L1027,W,65.0,65.49,119.29,1.11
W036,L1028,CENTER,65.0,66.19,120.32,1.42
W036,L1028,N,65.0,66.77,120.04,1.92
W036,L1028,S,65.0,66.92,119.68,1.39
W036,L1028,E,65.0,66.44,119.19,1.77
W036,L1028,W,65.0,66.96,120.0,1.3
W037,L1028,CENTER,65.0,66.93,118.83,1.57
W037,L1028,N,65.0,66.64,119.71,2.06
W037,L1028,S,65.0,66.89,119.87,1.47
W037,L1028,E,65.0,66.48,119.74,0.98
W037,L1028,W,65.0,67.01,120.51,1.82
W038,L1028,CENTER,65.0,66.27,121.04,2.29
W038,L1028,N,65.0,66.66,119.55,1.15
W038,L1028,S,65.0,66.73,119.54,1.49
W038,L1028,E,65.0,66.93,119.25,2.3
W038,L1028,W,65.0,67.07,119.38,0.93
W039,L1028,CENTER,65.0,66.51,119.48,1.39
W039,L1028,N,65.0,65.83,119.89,2.22
W039,L1028,S,65.0,66.27,119.86,0.9
W039,L1028,E,65.0,66.79,119.89,2.28
W039,L1028,W,65.0,66.66,119.81,1.72
W040,L1028,CENTER,65.0,66.45,119.33,1.62
W040,L1028,N,65.0,66.55,120.08,1.65
W040,L1028,S,65.0,66.45,120.21,2.2
W040,L1028,E,65.0,66.27,120.87,1.4
W040,L1028,W,65.0,66.37,121.21,1.56
W041,L1029,CENTER,65.0,67.81,120.41,0.83
W041,L1029,N,65.0,67.44,119.74,0.96
W041,L1029,S,65.0,66.87,120.05,1.74
W041,L1029,E,65.0,67.52,119.85,1.18
W041,L1029,W,65.0,67.1,119.72,1.09
W042,L1029,CENTER,65.0,67.34,119.99,1.14
W042,L1029,N,65.0,67.33,119.62,1.5
W042,L1029,S,65.0,67.55,120.09,1.69
W042,L1029,E,65.0,66.9,119.81,1.61
W042,L1029,W,65.0,67.59,119.2,1.56
W043,L1029,CENTER,65.0,67.76,119.91,1.46
W043,L1029,N,65.0,67.54,120.12,1.77
W043,L1029,S,65.0,67.42,120.08,1.19
W043,L1029,E,65.0,67.35,120.63,1.42
W043,L1029,W,65.0,67.35,119.75,1.81
W044,L1029,CENTER,65.0,67.14,120.46,1.13
W044,L1029,N,65.0,67.08,120.1,1.55
W044,L1029,S,65.0,67.49,120.53,1.34
W044,L1029,E,65.0,67.53,119.55,2.0
W044,L1029,W,65.0,67.59,120.27,1.58
W045,L1029,CENTER,65.0,67.16,119.84,1.7
W045,L1029,N,65.0,67.39,120.06,0.96
W045,L1029,S,65.0,67.45,119.65,1.07
W045,L1029,E,65.0,67.35,119.07,1.78
W045,L1029,W,65.0,67.66,119.97,1.1
W046,L1030,CENTER,65.0,67.92,119.92,0.53
W046,L1030,N,65.0,68.25,120.33,1.38
W046,L1030,S,65.0,68.05,120.09,1.64
W046,L1030,E,65.0,68.53,120.01,1.22
W046,L1030,W,65.0,68.06,120.09,2.12
W047,L1030,CENTER,65.0,68.1,119.47,1.15
W047,L1030,N,65.0,67.57,120.16,0.96
W047,L1030,S,65.0,67.83,119.01,1.05
W047,L1030,E,65.0,68.37,119.34,0.8
W047,L1030,W,65.0,68.25,119.83,1.67
W048,L1030,CENTER,65.0,68.42,120.0,0.98
W048,L1030,N,65.0,68.16,120.25,1.27
W048,L1030,S,65.0,67.77,120.55,1.33
W048,L1030,E,65.0,68.08,120.01,1.91
W048,L1030,W,65.0,68.28,119.83,1.77
W049,L1030,CENTER,65.0,68.84,120.69,1.77
W049,L1030,N,65.0,67.86,121.88,1.02
W049,L1030,S,65.0,68.09,119.65,2.15
W049,L1030,E,65.0,68.33,119.29,1.61
W049,L1030,W,65.0,68.36,119.84,1.01
W050,L1030,CENTER,65.0,67.98,119.78,1.51
W050,L1030,N,65.0,68.04,120.37,1.12
W050,L1030,S,65.0,67.68,119.63,2.04
W050,L1030,E,65.0,68.03,121.17,1.7
W050,L1030,W,65.0,67.85,119.58,1.6
W051,L1031,CENTER,65.0,68.65,121.19,1.1
W051,L1031,N,65.0,69.2,120.73,1.46
W051,L1031,S,65.0,68.7,119.86,1.64
W051,L1031,E,65.0,69.26,120.03,0.94
W051,L1031,W,65.0,69.01,119.66,0.63
W052,L1031,CENTER,65.0,68.79,119.28,1.73
W052,L1031,N,65.0,69.58,120.93,1.27
W052,L1031,S,65.0,68.86,120.34,1.92
W052,L1031,E,65.0,68.87,119.93,2.38
W052,L1031,W,65.0,68.97,119.76,1.55
W053,L1031,CENTER,65.0,69.17,119.49,1.4
W053,L1031,N,65.0,68.65,119.86,2.25
W053,L1031,S,65.0,69.22,119.95,1.13
W053,L1031,E,65.0,68.91,120.53,1.28
W053,L1031,W,65.0,69.44,119.31,1.38
W054,L1031,CENTER,65.0,69.52,119.0,1.98
W054,L1031,N,65.0,68.44,119.95,1.43
W054,L1031,S,65.0,69.25,118.42,0.73
W054,L1031,E,65.0,68.83,120.02,1.14
W054,L1031,W,65.0,68.93,119.41,1.34
W055,L1031,CENTER,65.0,68.75,120.12,1.73
W055,L1031,N,65.0,69.43,119.67,1.37
W055,L1031,S,65.0,69.01,119.85,1.48
W055,L1031,E,65.0,68.53,120.19,1.13
W055,L1031,W,65.0,68.71,119.21,1.96
W056,L1032,CENTER,65.0,69.76,120.57,1.61
W056,L1032,N,65.0,69.29,119.46,1.8
W056,L1032,S,65.0,69.57,119.45,1.43
W056,L1032,E,65.0,69.75,119.49,1.37
W056,L1032,W,65.0,69.66,118.71,1.7
W057,L1032,CENTER,65.0,69.56,120.65,1.04
W057,L1032,N,65.0,69.33,120.59,0.87
W057,L1032,S,65.0,69.61,120.3,1.37
W057,L1032,E,65.0,69.3,120.09,1.42
W057,L1032,W,65.0,70.19,120.29,2.71
W058,L1032,CENTER,65.0,69.31,119.99,1.07
W058,L1032,N,65.0,70.15,120.41,1.8
W058,L1032,S,65.0,69.57,119.63,0.69
W058,L1032,E,65.0,70.31,120.25,1.4
W058,L1032,W,65.0,70.08,120.38,1.89
W059,L1032,CENTER,65.0,69.31,119.64,1.58
W059,L1032,N,65.0,69.91,120.48,1.1
W059,L1032,S,65.0,69.84,121.1,1.78
W059,L1032,E,65.0,70.06,119.99,1.81
W059,L1032,W,65.0,70.34,120.05,1.99
W060,L1032,CENTER,65.0,69.54,120.3,1.86
W060,L1032,N,65.0,69.57,120.55,1.23
W060,L1032,S,65.0,69.56,120.0,2.27
W060,L1032,E,65.0,69.89,120.47,1.21
W060,L1032,W,65.0,69.82,119.41,1.27
W061,L1033,CENTER,65.0,70.85,119.98,2.08
W061,L1033,N,65.0,70.54,119.9,2.01
W061,L1033,S,65.0,70.41,119.24,2.02
W061,L1033,E,65.0,70.72,118.92,1.52
W061,L1033,W,65.0,70.48,120.87,1.21
W062,L1033,CENTER,65.0,70.43,119.54,1.08
W062,L1033,N,65.0,70.39,119.28,1.09
W062,L1033,S,65.0,70.12,119.25,0.88
W062,L1033,E,65.0,70.44,119.66,1.01
W062,L1033,W,65.0,70.74,119.98,1.33
W063,L1033,CENTER,65.0,70.46,120.8,1.6
W063,L1033,N,65.0,70.74,118.71,1.24
W063,L1033,S,65.0,69.95,119.79,1.65
W063,L1033,E,65.0,70.4,120.26,1.09
W063,L1033,W,65.0,70.77,119.22,1.4
W064,L1033,CENTER,65.0,70.73,120.27,1.45
W064,L1033,N,65.0,71.18,119.79,1.32
W064,L1033,S,65.0,69.77,120.88,1.35
W064,L1033,E,65.0,70.25,120.66,1.99
W064,L1033,W,65.0,70.63,119.28,1.67
W065,L1033,CENTER,65.0,70.41,119.41,1.92
W065,L1033,N,65.0,69.96,120.28,1.68
W065,L1033,S,65.0,71.22,120.16,0.68
W065,L1033,E,65.0,70.35,120.03,1.64
W065,L1033,W,65.0,70.89,119.02,1.37
W066,L1034,CENTER,65.0,71.69,120.77,2.24
W066,L1034,N,65.0,71.28,120.55,2.18
W066,L1034,S,65.0,71.76,120.36,1.83
W066,L1034,E,65.0,71.16,119.28,1.89
W066,L1034,W,65.0,71.3,119.99,1.27
W067,L1034,CENTER,65.0,71.28,120.12,1.09
W067,L1034,N,65.0,71.42,120.12,1.47
W067,L1034,S,65.0,71.18,120.39,2.25
W067,L1034,E,65.0,71.22,120.62,1.86
W067,L1034,W,65.0,70.6,119.62,1.25
W068,L1034,CENTER,65.0,71.63,120.09,1.69
W068,L1034,N,65.0,71.59,119.55,1.2
W068,L1034,S,65.0,71.03,119.91,1.45
W068,L1034,E,65.0,71.45,119.64,1.86
W068,L1034,W,65.0,71.68,120.77,1.78
W069,L1034,CENTER,65.0,71.46,120.34,1.74
W069,L1034,N,65.0,71.2,120.64,2.19
W069,L1034,S,65.0,71.99,120.02,1.63
W069,L1034,E,65.0,71.52,120.0,1.75
W069,L1034,W,65.0,71.36,119.9,2.2
W070,L1034,CENTER,65.0,71.45,120.03,1.85
W070,L1034,N,65.0,71.45,120.15,1.47
W070,L1034,S,65.0,71.03,119.98,1.05
W070,L1034,E,65.0,71.46,119.41,1.87
W070,L1034,W,65.0,71.62,120.14,1.46
W071,L1035,CENTER,65.0,72.32,119.02,1.06
W071,L1035,N,65.0,72.16,120.17,1.47
W071,L1035,S,65.0,71.9,120.07,1.32
W071,L1035,E,65.0,71.88,120.16,1.42
W071,L1035,W,65.0,72.56,120.33,1.79
W072,L1035,CENTER,65.0,72.3,119.58,1.13
W072,L1035,N,65.0,71.76,121.44,1.07
W072,L1035,S,65.0,72.14,119.82,1.39
W072,L1035,E,65.0,72.02,119.07,1.1
W072,L1035,W,65.0,71.78,119.94,1.23
W073,L1035,CENTER,65.0,71.99,120.11,1.27
W073,L1035,N,65.0,72.48,119.81,1.59
W073,L1035,S,65.0,71.8,120.33,1.34
W073,L1035,E,65.0,72.32,120.17,1.43
W073,L1035,W,65.0,72.27,119.81,2.04
W074,L1035,CENTER,65.0,72.48,120.24,1.03
W074,L1035,N,65.0,71.87,119.67,1.4
W074,L1035,S,65.0,72.33,119.55,1.97
W074,L1035,E,65.0,72.2,118.99,1.31
W074,L1035,W,65.0,71.42,119.62,1.28
W075,L1035,CENTER,65.0,72.02,119.84,1.34
W075,L1035,N,65.0,72.02,120.75,1.99
W075,L1035,S,65.0,71.86,120.63,0.85
W075,L1035,E,65.0,71.96,120.76,0.6
W075,L1035,W,65.0,72.37,119.37,1.44
W076,L1036,CENTER,65.0,72.95,120.85,1.18
W076,L1036,N,65.0,72.98,120.31,1.4
W076,L1036,S,65.0,72.75,119.97,1.54
W076,L1036,E,65.0,73.27,119.53,1.32
W076,L1036,W,65.0,73.1,119.92,1.43
W077,L1036,CENTER,65.0,72.99,119.65,1.18
W077,L1036,N,65.0,73.13,119.45,1.97
W077,L1036,S,65.0,73.07,119.36,1.61
W077,L1036,E,65.0,73.05,120.38,1.96
W077,L1036,W,65.0,72.89,119.65,1.26
W078,L1036,CENTER,65.0,72.71,119.63,1.61
W078,L1036,N,65.0,73.0,119.75,1.2
W078,L1036,S,65.0,73.1,119.75,1.08
W078,L1036,E,65.0,72.95,119.87,1.07
W078,L1036,W,65.0,73.25,120.42,1.52
W079,L1036,CENTER,65.0,73.04,120.26,1.49
W079,L1036,N,65.0,73.27,120.83,1.53
W079,L1036,S,65.0,73.13,120.44,1.36
W079,L1036,E,65.0,72.66,120.45,0.87
W079,L1036,W,65.0,73.54,120.44,1.58
W080,L1036,CENTER,65.0,73.02,120.88,1.12
W080,L1036,N,65.0,72.65,119.7,1.4
W080,L1036,S,65.0,72.7,120.08,1.55
W080,L1036,E,65.0,72.76,120.8,0.94
W080,L1036,W,65.0,72.62,120.19,1.42
W081,L1037,CENTER,65.0,73.93,119.69,1.09
W081,L1037,N,65.0,73.61,119.66,1.71
W081,L1037,S,65.0,73.66,120.38,1.74
W081,L1037,E,65.0,74.11,120.45,1.81
W081,L1037,W,65.0,74.03,119.74,1.4
W082,L1037,CENTER,65.0,73.25,120.15,1.23
W082,L1037,N,65.0,73.92,120.26,0.96
W082,L1037,S,65.0,73.5,119.83,1.29
W082,L1037,E,65.0,73.85,119.42,1.52
W082,L1037,W,65.0,73.29,118.92,1.79
W083,L1037,CENTER,65.0,73.41,119.72,0.93
W083,L1037,N,65.0,73.38,119.8,1.34
W083,L1037,S,65.0,74.09,120.22,1.4
W083,L1037,E,65.0,74.03,120.56,1.66
W083,L1037,W,65.0,73.68,120.51,2.21
W084,L1037,CENTER,65.0,74.0,120.89,1.87
W084,L1037,N,65.0,74.05,119.45,1.05
W084,L1037,S,65.0,73.79,119.17,1.26
W084,L1037,E,65.0,74.06,119.67,1.71
W084,L1037,W,65.0,73.39,119.75,1.91
W085,L1037,CENTER,65.0,73.86,120.15,2.18
W085,L1037,N,65.0,74.19,119.56,2.03
W085,L1037,S,65.0,73.62,119.99,1.51
W085,L1037,E,65.0,74.12,119.44,1.68
W085,L1037,W,65.0,73.96,120.41,1.42
W086,L1038,CENTER,65.0,74.9,119.64,1.96
W086,L1038,N,65.0,74.71,119.3,1.66
W086,L1038,S,65.0,74.65,119.82,1.21
W086,L1038,E,65.0,74.53,119.28,2.18
W086,L1038,W,65.0,74.26,119.67,1.96
W087,L1038,CENTER,65.0,74.78,120.36,2.11
W087,L1038,N,65.0,74.51,119.48,1.84
W087,L1038,S,65.0,74.84,119.84,0.99
W087,L1038,E,65.0,74.97,120.29,0.95
W087,L1038,W,65.0,74.83,119.28,1.31
W088,L1038,CENTER,65.0,74.26,119.68,1.17
W088,L1038,N,65.0,74.42,120.36,1.62
W088,L1038,S,65.0,74.79,120.55,1.35
W088,L1038,E,65.0,74.62,120.27,2.18
W088,L1038,W,65.0,74.87,120.69,1.91
W089,L1038,CENTER,65.0,74.92,119.11,1.85
W089,L1038,N,65.0,74.66,120.03,1.29
W089,L1038,S,65.0,74.47,120.21,1.84
W089,L1038,E,65.0,74.15,120.11,1.28
W089,L1038,W,65.0,74.31,120.2,1.37
W090,L1038,CENTER,65.0,74.4,119.62,1.61
W090,L1038,N,65.0,74.6,119.45,1.16
W090,L1038,S,65.0,74.55,120.2,1.08
W090,L1038,E,65.0,74.75,119.59,2.59
W090,L1038,W,65.0,74.32,119.6,1.58
W091,L1039,CENTER,65.0,75.13,120.41,2.22
W091,L1039,N,65.0,75.28,120.09,1.29
W091,L1039,S,65.0,75.4,120.72,1.86
W091,L1039,E,65.0,75.13,120.77,1.96
W091,L1039,W,65.0,75.55,119.67,1.53
W092,L1039,CENTER,65.0,75.16,120.23,1.37
W092,L1039,N,65.0,74.73,120.46,1.58
W092,L1039,S,65.0,75.72,119.93,1.58
W092,L1039,E,65.0,75.73,120.19,1.62
W092,L1039,W,65.0,76.36,119.92,1.57
W093,L1039,CENTER,65.0,75.92,119.6,1.08
W093,L1039,N,65.0,74.97,120.27,1.75
W093,L1039,S,65.0,75.62,119.32,1.9
W093,L1039,E,65.0,75.76,119.95,1.51
W093,L1039,W,65.0,75.6,120.18,1.76
W094,L1039,CENTER,65.0,75.07,119.91,1.02
W094,L1039,N,65.0,75.59,120.27,1.46
W094,L1039,S,65.0,75.49,119.22,1.84
W094,L1039,E,65.0,75.26,120.06,1.95
W094,L1039,W,65.0,75.17,120.6,1.55
W095,L1039,CENTER,65.0,75.41,120.28,1.0
W095,L1039,N,65.0,75.58,120.03,1.91
W095,L1039,S,65.0,75.33,119.82,1.65
W095,L1039,E,65.0,75.38,119.41,1.42
W095,L1039,W,65.0,75.78,119.95,1.15
W096,L1040,CENTER,65.0,76.41,119.07,0.65
W096,L1040,N,65.0,76.2,120.09,1.59
W096,L1040,S,65.0,75.93,119.92,0.94
W096,L1040,E,65.0,76.27,119.19,1.44
W096,L1040,W,65.0,76.28,119.12,1.29
W097,L1040,CENTER,65.0,76.44,120.77,0.9
W097,L1040,N,65.0,76.3,119.38,0.96
W097,L1040,S,65.0,76.68,120.33,1.18
W097,L1040,E,65.0,76.27,120.32,1.57
W097,L1040,W,65.0,76.87,120.3,0.3
W098,L1040,CENTER,65.0,76.11,119.63,1.42
W098,L1040,N,65.0,76.2,119.67,1.07
W098,L1040,S,65.0,76.61,120.3,1.23
W098,L1040,E,65.0,76.4,120.34,2.01
W098,L1040,W,65.0,75.88,120.39,1.26
W099,L1040,CENTER,65.0,76.55,119.9,0.59
W099,L1040,N,65.0,76.21,119.11,1.41
W099,L1040,S,65.0,76.18,119.8,0.91
W099,L1040,E,65.0,75.87,119.58,1.4
W099,L1040,W,65.0,76.59,120.35,1.31
W100,L1040,CENTER,65.0,76.58,119.32,1.77
W100,L1040,N,65.0,76.15,120.12,1.76
W100,L1040,S,65.0,76.0,120.4,1.5
W100,L1040,E,65.0,76.92,119.85,2.01
W100,L1040,W,65.0,76.39,119.41,2.04
